scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,200000,107449,12675,4808,173.25,85.75,0.3378,0.0558,0.0382
1,200001,400000,299754,17322,6156,205.375,156.875,0.1339,0.031,0.0201
1,400001,600000,493805,13551,4723,177.875,136.875,0.1303,0.0314,0.0215
1,600001,800000,694215,17075,6009,223.25,162.25,0.1582,0.0356,0.025
1,800001,1000000,887499,7345,2486,91.375,69.625,0.1351,0.0401,0.027
1,1000001,1200000,1114729,13056,4769,200.625,153.125,0.1343,0.0399,0.0264
1,1200001,1400000,1300582,16244,6117,255,190.25,0.1454,0.0401,0.0276
1,1400001,1600000,1496828,15917,6005,203.375,197.375,0.015,0.004,0.0026
1,1600001,1800000,1702373,14947,5632,253.5,177.75,0.1757,0.0509,0.034
1,1800001,2000000,1900499,20787,7968,300.75,244.5,0.1032,0.028,0.0185
1,2000001,2200000,2097115,17301,6739,227.75,204.25,0.0544,0.0132,0.0086
1,2200001,2400000,2299839,15540,6304,226.375,212.375,0.0319,0.0091,0.0057
1,2400001,2600000,2500901,15610,6190,243,196.75,0.1052,0.0283,0.0179
1,2600001,2800000,2698261,15555,6071,227.875,189.375,0.0923,0.024,0.015
1,2800001,3000000,2898297,15296,6055,229.625,222.625,0.0155,0.0046,0.0028
1,3000001,3200000,3094746,13532,5678,192,184,0.0213,0.0059,0.0037
1,3200001,3400000,3301373,15700,6600,236.625,172.625,0.1564,0.0384,0.0247
1,3400001,3600000,3501222,13811,5720,210.125,163.875,0.1237,0.0321,0.0208
1,3600001,3800000,3704319,15842,6564,192,216.25,-0.0594,-0.0161,-0.0102
1,3800001,4000000,3896591,15231,6199,255.375,191.875,0.142,0.0434,0.0283
1,4000001,4200000,4094438,13651,5532,194.625,156.625,0.1082,0.03,0.0185
1,4200001,4400000,4300676,13503,5050,135.75,117.75,0.071,0.0158,0.0096
1,4400001,4600000,4498286,14114,5501,177.25,92.75,0.313,0.0704,0.0441
