scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,200000,107449,12675,4808,123.25,85.75,0.1794,0.0258,0.0167
1,200001,400000,299754,17322,6156,253.625,156.875,0.2357,0.0651,0.0393
1,400001,600000,493805,13551,4723,202.375,136.875,0.1931,0.0629,0.0338
1,600001,800000,694215,17075,6009,326.5,162.25,0.3361,0.1178,0.0642
1,800001,1000000,887499,7345,2486,107.625,69.625,0.2144,0.0832,0.0459
1,1000001,1200000,1114729,13056,4769,253.375,153.125,0.2466,0.0943,0.0539
1,1200001,1400000,1300582,16244,6117,350.75,190.25,0.2967,0.1204,0.0652
1,1400001,1600000,1496828,15917,6005,356.625,197.375,0.2875,0.1166,0.0654
1,1600001,1800000,1702373,14947,5632,312.25,177.75,0.2745,0.1061,0.0582
1,1800001,2000000,1900499,20787,7968,477.25,244.5,0.3225,0.1294,0.0719
1,2000001,2200000,2097115,17301,6739,337.25,204.25,0.2456,0.0807,0.0468
1,2200001,2400000,2299839,15540,6304,307.625,212.375,0.1832,0.0654,0.0374
1,2400001,2600000,2500901,15610,6190,184.5,196.75,-0.0321,-0.0079,-0.0048
1,2600001,2800000,2698261,15555,6071,232.125,189.375,0.1014,0.0271,0.0166
1,2800001,3000000,2898297,15296,6055,272.625,222.625,0.101,0.0324,0.0199
1,3000001,3200000,3094746,13532,5678,266,184,0.1822,0.0623,0.0364
1,3200001,3400000,3301373,15700,6600,322.875,172.625,0.3032,0.0952,0.056
1,3400001,3600000,3501222,13811,5720,323.875,163.875,0.328,0.1155,0.0684
1,3600001,3800000,3704319,15842,6564,361.25,216.25,0.2511,0.1012,0.0569
1,3800001,4000000,3896591,15231,6199,319.875,191.875,0.2501,0.0975,0.0551
1,4000001,4200000,4094438,13651,5532,211.625,156.625,0.1494,0.0442,0.0265
1,4200001,4400000,4300676,13503,5050,138.5,117.75,0.081,0.0178,0.011
1,4400001,4600000,4498286,14114,5501,119.5,92.75,0.126,0.0229,0.0144
1,4600001,4800000,4696237,12886,4906,121.625,79.125,0.2117,0.0413,0.0265
1,4800001,5000000,4901292,13948,5334,119.25,77,0.2153,0.0385,0.0238
1,5000001,5200000,5099577,14949,5853,156.5,118.75,0.1371,0.0293,0.018
1,5200001,5400000,5298656,14688,5811,234.375,138.875,0.2559,0.0695,0.043
1,5400001,5600000,5498014,13694,5225,220.625,153.125,0.1806,0.0552,0.0319
